Start,Destination,Hour,Capacity
Bbcountry,Stcountry,7,0.0
Bbcountry,Stcountry,8,0.0
Bbcountry,Stcountry,9,0.0
Bbcountry,Stcountry,10,0.0
Bbcountry,Stcountry,11,0.0
Bbcountry,Stcountry,12,0.0
Bbcountry,Stcountry,13,0.0
Bbcountry,Stcountry,14,0.0
Bbcountry,Stcountry,15,0.0
Bbcountry,Stcountry,16,0.0
Bbcountry,Stcountry,17,0.0
Bbcountry,Stcountry,18,0.0
Bbcountry,Stcountry,19,0.0
Bbcountry,Stcountry,20,0.0
Bbcountry,Stcountry,21,0.0
Bbcountry,Stcountry,22,0.0
Bbcountry,Stcountry,23,0.0
Bbcountry,Thcountry,0,0.0
Bbcountry,Thcountry,1,0.0
Bbcountry,Thcountry,2,0.0
Bbcountry,Thcountry,3,0.0
Bbcountry,Thcountry,4,0.0
Bbcountry,Thcountry,5,0.0
Bbcountry,Thcountry,6,0.0
Bbcountry,Thcountry,7,0.0
Bbcountry,Thcountry,8,0.0
Bbcountry,Thcountry,9,0.0
Bbcountry,Thcountry,10,0.0
Bbcountry,Thcountry,11,0.0
Bbcountry,Thcountry,12,0.0
Bbcountry,Thcountry,13,0.0
Bbcountry,Thcountry,14,0.0
Bbcountry,Thcountry,15,0.0
Bbcountry,Thcountry,16,0.0
Bbcountry,Thcountry,17,0.0
Bbcountry,Thcountry,18,0.0
Bbcountry,Thcountry,19,0.0
Bbcountry,Thcountry,20,0.0
Bbcountry,Thcountry,21,0.0
Bbcountry,Thcountry,22,0.0
Bbcountry,Thcountry,23,0.0
Bbcountry,Bbcity,0,0.0
Bbcountry,Bbcity,1,0.01462963602230278
Bbcountry,Bbcity,2,0.02925927204460556
Bbcountry,Bbcity,3,0.043888908066908344
Bbcountry,Bbcity,4,0.05851854408921112
Bbcountry,Bbcity,5,0.07314818011151392
Bbcountry,Bbcity,6,0.08777781613381669
Bbcountry,Bbcity,7,0.10240745215611946
Bbcountry,Bbcity,8,0.11703708817842225
Bbcountry,Bbcity,9,0.06583336210036252
Bbcountry,Bbcity,10,0.06330089249849123
Bbcountry,Bbcity,11,0.05887254130163874
Bbcountry,Bbcity,12,0.053505653356002575
Bbcountry,Bbcity,13,0.047648666177171096
Bbcountry,Bbcity,14,0.04160442254933941
Bbcountry,Bbcity,15,0.03559205622074213
Bbcountry,Bbcity,16,0.02977099253190013
Bbcountry,Bbcity,17,0.024254198958102675
Bbcountry,Bbcity,18,0.019117365946412855
Bbcountry,Bbcity,19,0.014406164436614433
Bbcountry,Bbcity,20,0.010142359179588828
Bbcountry,Bbcity,21,0.006329076961167363
Bbcountry,Bbcity,22,0.0029553509795658423
Bbcountry,Bbcity,23,0.0
Bbcountry,Becity,0,0.0
Bbcountry,Becity,1,0.01462963602230278
Bbcountry,Becity,2,0.02925927204460556
Bbcountry,Becity,3,0.043888908066908344
Bbcountry,Becity,4,0.05851854408921112
Bbcountry,Becity,5,0.07314818011151392
Bbcountry,Becity,6,0.08777781613381669
Bbcountry,Becity,7,0.10240745215611946
Bbcountry,Becity,8,0.11703708817842225
Bbcountry,Becity,9,0.06583336210036252
Bbcountry,Becity,10,0.06330089249849123
Bbcountry,Becity,11,0.05887254130163874
Bbcountry,Becity,12,0.053505653356002575
Bbcountry,Becity,13,0.047648666177171096
Bbcountry,Becity,14,0.04160442254933941
Bbcountry,Becity,15,0.03559205622074213
Bbcountry,Becity,16,0.02977099253190013
Bbcountry,Becity,17,0.024254198958102675
Bbcountry,Becity,18,0.019117365946412855
Bbcountry,Becity,19,0.014406164436614433
Bbcountry,Becity,20,0.010142359179588828
Bbcountry,Becity,21,0.006329076961167363
Bbcountry,Becity,22,0.0029553509795658423
Bbcountry,Becity,23,0.0
Bbcountry,Bwcity,0,0.0
Bbcountry,Bwcity,1,0.01462963602230278
Bbcountry,Bwcity,2,0.02925927204460556
Bbcountry,Bwcity,3,0.043888908066908344
Bbcountry,Bwcity,4,0.05851854408921112
Bbcountry,Bwcity,5,0.07314818011151392
Bbcountry,Bwcity,6,0.08777781613381669
Bbcountry,Bwcity,7,0.10240745215611946
Bbcountry,Bwcity,8,0.11703708817842225
Bbcountry,Bwcity,9,0.06583336210036252
Bbcountry,Bwcity,10,0.06330089249849123
Bbcountry,Bwcity,11,0.05887254130163874
Bbcountry,Bwcity,12,0.053505653356002575
Bbcountry,Bwcity,13,0.047648666177171096
Bbcountry,Bwcity,14,0.04160442254933941
Bbcountry,Bwcity,15,0.03559205622074213
Bbcountry,Bwcity,16,0.02977099253190013
Bbcountry,Bwcity,17,0.024254198958102675
Bbcountry,Bwcity,18,0.019117365946412855
Bbcountry,Bwcity,19,0.014406164436614433
Bbcountry,Bwcity,20,0.010142359179588828
Bbcountry,Bwcity,21,0.006329076961167363
Bbcountry,Bwcity,22,0.0029553509795658423
Bbcountry,Bwcity,23,0.0
Bbcountry,Bycity,0,0.0
Bbcountry,Bycity,1,0.01462963602230278
Bbcountry,Bycity,2,0.02925927204460556
Bbcountry,Bycity,3,0.043888908066908344
Bbcountry,Bycity,4,0.05851854408921112
Bbcountry,Bycity,5,0.07314818011151392
Bbcountry,Bycity,6,0.08777781613381669
Bbcountry,Bycity,7,0.10240745215611946
Bbcountry,Bycity,8,0.11703708817842225
Bbcountry,Bycity,9,0.06583336210036252
Bbcountry,Bycity,10,0.06330089249849123
Bbcountry,Bycity,11,0.05887254130163874
Bbcountry,Bycity,12,0.053505653356002575
Bbcountry,Bycity,13,0.047648666177171096
Bbcountry,Bycity,14,0.04160442254933941
Bbcountry,Bycity,15,0.03559205622074213
Bbcountry,Bycity,16,0.02977099253190013
Bbcountry,Bycity,17,0.024254198958102675
Bbcountry,Bycity,18,0.019117365946412855
Bbcountry,Bycity,19,0.014406164436614433
Bbcountry,Bycity,20,0.010142359179588828
Bbcountry,Bycity,21,0.006329076961167363
Bbcountry,Bycity,22,0.0029553509795658423
Bbcountry,Bycity,23,0.0
Bbcountry,Hbcity,0,0.0
Bbcountry,Hbcity,1,0.01462963602230278
Bbcountry,Hbcity,2,0.02925927204460556
Bbcountry,Hbcity,3,0.043888908066908344
Bbcountry,Hbcity,4,0.05851854408921112
Bbcountry,Hbcity,5,0.07314818011151392
Bbcountry,Hbcity,6,0.08777781613381669
Bbcountry,Hbcity,7,0.10240745215611946
Bbcountry,Hbcity,8,0.11703708817842225
Bbcountry,Hbcity,9,0.06583336210036252
Bbcountry,Hbcity,10,0.06330089249849123
Bbcountry,Hbcity,11,0.05887254130163874
Bbcountry,Hbcity,12,0.053505653356002575
Bbcountry,Hbcity,13,0.047648666177171096
Bbcountry,Hbcity,14,0.04160442254933941
Bbcountry,Hbcity,15,0.03559205622074213
Bbcountry,Hbcity,16,0.02977099253190013
Bbcountry,Hbcity,17,0.024254198958102675
Bbcountry,Hbcity,18,0.019117365946412855
Bbcountry,Hbcity,19,0.014406164436614433
Bbcountry,Hbcity,20,0.010142359179588828
Bbcountry,Hbcity,21,0.006329076961167363
Bbcountry,Hbcity,22,0.0029553509795658423
Bbcountry,Hbcity,23,0.0
Bbcountry,Hecity,0,0.0
Bbcountry,Hecity,1,0.01462963602230278
Bbcountry,Hecity,2,0.02925927204460556
Bbcountry,Hecity,3,0.043888908066908344
Bbcountry,Hecity,4,0.05851854408921112
Bbcountry,Hecity,5,0.07314818011151392
Bbcountry,Hecity,6,0.08777781613381669
Bbcountry,Hecity,7,0.10240745215611946
Bbcountry,Hecity,8,0.11703708817842225
Bbcountry,Hecity,9,0.06583336210036252
Bbcountry,Hecity,10,0.06330089249849123
Bbcountry,Hecity,11,0.05887254130163874
Bbcountry,Hecity,12,0.053505653356002575
Bbcountry,Hecity,13,0.047648666177171096
Bbcountry,Hecity,14,0.04160442254933941
Bbcountry,Hecity,15,0.03559205622074213
Bbcountry,Hecity,16,0.02977099253190013
Bbcountry,Hecity,17,0.024254198958102675
Bbcountry,Hecity,18,0.019117365946412855
Bbcountry,Hecity,19,0.014406164436614433
Bbcountry,Hecity,20,0.010142359179588828
Bbcountry,Hecity,21,0.006329076961167363
Bbcountry,Hecity,22,0.0029553509795658423
Bbcountry,Hecity,23,0.0
Bbcountry,Hhcity,0,0.0
Bbcountry,Hhcity,1,0.01462963602230278
Bbcountry,Hhcity,2,0.02925927204460556
Bbcountry,Hhcity,3,0.043888908066908344
Bbcountry,Hhcity,4,0.05851854408921112
Bbcountry,Hhcity,5,0.07314818011151392
Bbcountry,Hhcity,6,0.08777781613381669
Bbcountry,Hhcity,7,0.10240745215611946
Bbcountry,Hhcity,8,0.11703708817842225
Bbcountry,Hhcity,9,0.06583336210036252
Bbcountry,Hhcity,10,0.06330089249849123
Bbcountry,Hhcity,11,0.05887254130163874
Bbcountry,Hhcity,12,0.053505653356002575
Bbcountry,Hhcity,13,0.047648666177171096
Bbcountry,Hhcity,14,0.04160442254933941
Bbcountry,Hhcity,15,0.03559205622074213
Bbcountry,Hhcity,16,0.02977099253190013
Bbcountry,Hhcity,17,0.024254198958102675
Bbcountry,Hhcity,18,0.019117365946412855
Bbcountry,Hhcity,19,0.014406164436614433
Bbcountry,Hhcity,20,0.010142359179588828
Bbcountry,Hhcity,21,0.006329076961167363
Bbcountry,Hhcity,22,0.0029553509795658423
Bbcountry,Hhcity,23,0.0
Bbcountry,Mvcity,0,0.0
Bbcountry,Mvcity,1,0.01462963602230278
Bbcountry,Mvcity,2,0.02925927204460556
Bbcountry,Mvcity,3,0.043888908066908344
Bbcountry,Mvcity,4,0.05851854408921112
Bbcountry,Mvcity,5,0.07314818011151392
Bbcountry,Mvcity,6,0.08777781613381669
Bbcountry,Mvcity,7,0.10240745215611946
Bbcountry,Mvcity,8,0.11703708817842225
Bbcountry,Mvcity,9,0.06583336210036252
Bbcountry,Mvcity,10,0.06330089249849123
Bbcountry,Mvcity,11,0.05887254130163874
Bbcountry,Mvcity,12,0.053505653356002575
Bbcountry,Mvcity,13,0.047648666177171096
Bbcountry,Mvcity,14,0.04160442254933941
Bbcountry,Mvcity,15,0.03559205622074213
Bbcountry,Mvcity,16,0.02977099253190013
Bbcountry,Mvcity,17,0.024254198958102675
Bbcountry,Mvcity,18,0.019117365946412855
Bbcountry,Mvcity,19,0.014406164436614433
Bbcountry,Mvcity,20,0.010142359179588828
Bbcountry,Mvcity,21,0.006329076961167363
Bbcountry,Mvcity,22,0.0029553509795658423
Bbcountry,Mvcity,23,0.0
Bbcountry,Nicity,0,0.0
Bbcountry,Nicity,1,0.01462963602230278
Bbcountry,Nicity,2,0.02925927204460556
Bbcountry,Nicity,3,0.043888908066908344
Bbcountry,Nicity,4,0.05851854408921112
Bbcountry,Nicity,5,0.07314818011151392
Bbcountry,Nicity,6,0.08777781613381669
Bbcountry,Nicity,7,0.10240745215611946
Bbcountry,Nicity,8,0.11703708817842225
Bbcountry,Nicity,9,0.06583336210036252
Bbcountry,Nicity,10,0.06330089249849123
Bbcountry,Nicity,11,0.05887254130163874
Bbcountry,Nicity,12,0.053505653356002575
Bbcountry,Nicity,13,0.047648666177171096
Bbcountry,Nicity,14,0.04160442254933941
Bbcountry,Nicity,15,0.03559205622074213
Bbcountry,Nicity,16,0.02977099253190013
Bbcountry,Nicity,17,0.024254198958102675
Bbcountry,Nicity,18,0.019117365946412855
Bbcountry,Nicity,19,0.014406164436614433
Bbcountry,Nicity,20,0.010142359179588828
Bbcountry,Nicity,21,0.006329076961167363
Bbcountry,Nicity,22,0.0029553509795658423
Bbcountry,Nicity,23,0.0
Bbcountry,Nwcity,0,0.0
Bbcountry,Nwcity,1,0.01462963602230278
Bbcountry,Nwcity,2,0.02925927204460556
Bbcountry,Nwcity,3,0.043888908066908344
Bbcountry,Nwcity,4,0.05851854408921112
Bbcountry,Nwcity,5,0.07314818011151392
Bbcountry,Nwcity,6,0.08777781613381669
Bbcountry,Nwcity,7,0.10240745215611946
Bbcountry,Nwcity,8,0.11703708817842225
Bbcountry,Nwcity,9,0.06583336210036252
Bbcountry,Nwcity,10,0.06330089249849123
Bbcountry,Nwcity,11,0.05887254130163874
Bbcountry,Nwcity,12,0.053505653356002575
Bbcountry,Nwcity,13,0.047648666177171096
Bbcountry,Nwcity,14,0.04160442254933941
Bbcountry,Nwcity,15,0.03559205622074213
Bbcountry,Nwcity,16,0.02977099253190013
Bbcountry,Nwcity,17,0.024254198958102675
Bbcountry,Nwcity,18,0.019117365946412855
