region,fuel,hour,Power
Bwcity,Power,5109,3.0964388454114316
Bwcity,Power,5110,2.9546206934448924
Bwcity,Power,5111,2.7023983645749725
Bwcity,Power,5112,2.53377589800922
Bycity,Power,5088,1.8773658943224247
Bycity,Power,5089,1.811428419628515
Bycity,Power,5090,1.7788736955589732
Bycity,Power,5091,1.7842776933986484
Bycity,Power,5092,1.827117441971226
Bycity,Power,5093,1.9397297610736206
Bycity,Power,5094,2.2029566978930886
Bycity,Power,5095,2.4555063829798027
Bycity,Power,5096,2.6086050964966057
Bycity,Power,5097,2.6925849499964314
Bycity,Power,5098,2.7783516074676142
Bycity,Power,5099,2.8598473628626735
Bycity,Power,5100,2.8353986367051633
Bycity,Power,5101,2.8146542624369637
Bycity,Power,5102,2.7759110929834163
Bycity,Power,5103,2.731153796492885
Bycity,Power,5104,2.6537546179118197
Bycity,Power,5105,2.632792339370994
Bycity,Power,5106,2.596664007358738
Bycity,Power,5107,2.5361741095149997
Bycity,Power,5108,2.4402967481928393
Bycity,Power,5109,2.3712214671863583
Bycity,Power,5110,2.2626185645719286
Bycity,Power,5111,2.069469262880933
Bycity,Power,5112,1.9403398879658933
Slcity,Power,5088,1.7656285170906798
Slcity,Power,5089,1.7036155200416785
Slcity,Power,5090,1.672998393483115
Slcity,Power,5091,1.6780807552757107
Slcity,Power,5092,1.7183707605290748
Slcity,Power,5093,1.8242806007920809
Slcity,Power,5094,2.071840752769072
Slcity,Power,5095,2.309359143467391
Slcity,Power,5096,2.4533457021519065
Slcity,Power,5097,2.5323272286880036
Slcity,Power,5098,2.612989211897901
Slcity,Power,5099,2.689634489295622
Slcity,Power,5100,2.666640906509875
Slcity,Power,5101,2.647131199378248
Slcity,Power,5102,2.6106939523628774
Slcity,Power,5103,2.568600528129192
Slcity,Power,5104,2.495808006801619
Slcity,Power,5105,2.4760933646603025
Slcity,Power,5106,2.4421153247541376
Slcity,Power,5107,2.385225674765395
Slcity,Power,5108,2.295054758267036
Slcity,Power,5109,2.23009071138628
Slcity,Power,5110,2.127951654490253
Slcity,Power,5111,1.946298245235763
Slcity,Power,5112,1.824854414049954
Becity,Power,5088,1.7263120596275505
Becity,Power,5089,1.6656799483860891
Becity,Power,5090,1.635744594319491
Becity,Power,5091,1.6407137836869155
Becity,Power,5092,1.6801066238444513
Becity,Power,5093,1.783658097276994
Becity,Power,5094,2.025705658077214
Becity,Power,5095,2.2579350643633487
Becity,Power,5096,2.398715375892822
Becity,Power,5097,2.475938166772822
Becity,Power,5098,2.554803994448831
Becity,Power,5099,2.629742559047462
Becity,Power,5100,2.6072609900917874
Becity,Power,5101,2.588185718948894
Becity,Power,5102,2.552559845027289
Becity,Power,5103,2.51140374385298
Becity,Power,5104,2.4402321433707077
Becity,Power,5105,2.420956500646113
Becity,Power,5106,2.3877350729874967
Becity,Power,5107,2.3321122237341427
Becity,Power,5108,2.2439492046890726
Becity,Power,5109,2.180431756660281
Becity,Power,5110,2.0805670999831594
Becity,Power,5111,1.9029586914005858
Becity,Power,5112,1.7842191330427009
Bbcity,Power,5088,0.07038020488446217
Bbcity,Power,5089,0.06790828771980296
Bbcity,Power,5090,0.06668785000070909
Bbcity,Power,5091,0.0668904394247003
Bbcity,Power,5092,0.06849645042706011
Bbcity,Power,5093,0.07271815175598592
Bbcity,Power,5094,0.08258621519555845
Bbcity,Power,5095,0.09205400122153422
Bbcity,Power,5096,0.09779348911648668
Bbcity,Power,5097,0.10094179351114922
Bbcity,Power,5098,0.10415708305237951
Bbcity,Power,5099,0.10721226157632323
Bbcity,Power,5100,0.10629570803642274
Bbcity,Power,5101,0.10551802622404338
Bbcity,Power,5102,0.10406559107953565
Bbcity,Power,5103,0.10238769349622243
Bbcity,Power,5104,0.0994860907437177
Bbcity,Power,5105,0.09870023996044197
Bbcity,Power,5106,0.09734583194821259
Bbcity,Power,5107,0.09507813793259343
Bbcity,Power,5108,0.09148381018111869
Bbcity,Power,5109,0.0888942604058776
Bbcity,Power,5110,0.08482286731188006
Bbcity,Power,5111,0.07758193070628067
Bbcity,Power,5112,0.07274102468438709
Mvcity,Power,5088,0.15482781384944702
Mvcity,Power,5089,0.14938989943516823
Mvcity,Power,5090,0.14670508622246298
Mvcity,Power,5091,0.1471507580939369
Mvcity,Power,5092,0.15068378521316347
Mvcity,Power,5093,0.15997101005935302
Mvcity,Power,5094,0.18167953864043387
Mvcity,Power,5095,0.20250750603272247
Mvcity,Power,5096,0.21513367506490494
Mvcity,Power,5097,0.22205955838051064
Mvcity,Power,5098,0.2291328007983028
Mvcity,Power,5099,0.23585381862651908
Mvcity,Power,5100,0.23383751331607383
Mvcity,Power,5101,0.2321267087641571
Mvcity,Power,5102,0.22893152968573008
Mvcity,Power,5103,0.22524036091016142
Mvcity,Power,5104,0.21885719093264652
Mvcity,Power,5105,0.21712841564723498
Mvcity,Power,5106,0.21414888423015685
Mvcity,Power,5107,0.2091602356819725
Mvcity,Power,5108,0.2012531557163373
Mvcity,Power,5109,0.195556463994381
Mvcity,Power,5110,0.18659989881955383
Mvcity,Power,5111,0.17067072687826987
Mvcity,Power,5112,0.16002132769492264
Sncity,Power,5088,0.9938009380099255
Sncity,Power,5089,0.9588963280993125
Sncity,Power,5090,0.9416631848879612
Sncity,Power,5091,0.9445238409477708
Sncity,Power,5092,0.9672014566668432
Sncity,Power,5093,1.026813825621604
Sncity,Power,5094,1.166155430532926
Sncity,Power,5095,1.2998449338377003
Sncity,Power,5096,1.3808891487993367
Sncity,Power,5097,1.425344658209869
Sncity,Power,5098,1.4707460287698688
Sncity,Power,5099,1.5138865579551337
Sncity,Power,5100,1.5009443994435925
Sncity,Power,5101,1.4899631737440566
Sncity,Power,5102,1.4694541199358169
Sncity,Power,5103,1.4457614325542065
Sncity,Power,5104,1.4047894640595822
Sncity,Power,5105,1.3936928887251208
Sncity,Power,5106,1.3745680232148347
Sncity,Power,5107,1.3425471383148626
Sncity,Power,5108,1.291793573490852
Sncity,Power,5109,1.2552279368905792
Sncity,Power,5110,1.197737989504604
Sncity,Power,5111,1.0954926265857508
Sncity,Power,5112,1.027136801914973
Stcity,Power,5088,0.5841980747932155
Stcity,Power,5089,0.5636796740438447
Stcity,Power,5090,0.5535493061787596
Stcity,Power,5091,0.5552309203721741
Stcity,Power,5092,0.5685617786328957
Stcity,Power,5093,0.6036044414492255
Stcity,Power,5094,0.6855153093246373
Stcity,Power,5095,0.7641036336696584
Stcity,Power,5096,0.811744838807304
Stcity,Power,5097,0.837877660802412
Stcity,Power,5098,0.8645664998442005
Stcity,Power,5099,0.8899263210434641
Stcity,Power,5100,0.8823183748271411
Stcity,Power,5101,0.8758631475606171
Stcity,Power,5102,0.8638070613844493
Stcity,Power,5103,0.849879501220609
Stcity,Power,5104,0.8257944513886186
Stcity,Power,5105,0.819271416745311
Stcity,Power,5106,0.8080290147868651
Stcity,Power,5107,0.7892057891324412
Stcity,Power,5108,0.7593707047357071
Stcity,Power,5109,0.7378758824947017
Stcity,Power,5110,0.7040808685253
Stcity,Power,5111,0.6439767351026254
Stcity,Power,5112,0.6037943005262031
Thcity,Power,5088,0.15996401754719858
Thcity,Power,5089,0.1543457076637321
Thcity,Power,5090,0.1515718293973519
Thcity,Power,5091,0.15203228583147863
Thcity,Power,5092,0.15568251635558997
Thcity,Power,5093,0.16527783234774918
Thcity,Power,5094,0.18770651205671013
Thcity,Power,5095,0.20922541914825038
Thcity,Power,5096,0.22227044429200066
Thcity,Power,5097,0.22942608443624962
Thcity,Power,5098,0.2367339721219565
Thcity,Power,5099,0.24367795064285236
Thcity,Power,5100,0.24159475712586453
Thcity,Power,5101,0.2398271989426252
Thcity,Power,5102,0.23652602411195212
Thcity,Power,5103,0.23271240579555005
Thcity,Power,5104,0.22611748277168803
Thcity,Power,5105,0.22433135770013174
Thcity,Power,5106,0.22125298435083568
Thcity,Power,5107,0.2160988441220359
Thcity,Power,5108,0.20792945745356622
Thcity,Power,5109,0.2020437856746047
Thcity,Power,5110,0.19279009854199522
Thcity,Power,5111,0.1763324978268832
Thcity,Power,5112,0.16532981920294704
Shcountry,Power,5088,1.488459167645533
Shcountry,Power,5089,1.4361810054628925
Shcountry,Power,5090,1.4103701725091125
Shcountry,Power,5091,1.414654702312667
Shcountry,Power,5092,1.4486199600683995
Shcountry,Power,5093,1.5379040145325296
Shcountry,Power,5094,1.746602035768074
Shcountry,Power,5095,1.9468346570115664
Shcountry,Power,5096,2.068218125400965
Shcountry,Power,5097,2.134801087847111
Shcountry,Power,5098,2.2028007079410785
Shcountry,Power,5099,2.2674141669417036
Shcountry,Power,5100,2.2480301296070233
Shcountry,Power,5101,2.2315830671830437
Shcountry,Power,5102,2.2008657595281123
Shcountry,Power,5103,2.165380184509501
Shcountry,Power,5104,2.104014673782142
Shcountry,Power,5105,2.0873948471606023
Shcountry,Power,5106,2.0587506989111777
Shcountry,Power,5107,2.010791617909576
Shcountry,Power,5108,1.9347757821786629
Shcountry,Power,5109,1.880009827612893
Shcountry,Power,5110,1.7939046168395258
Shcountry,Power,5111,1.640767261092442
Shcountry,Power,5112,1.53838775026512
Hhcountry,Power,5088,0.0
Hhcountry,Power,5089,0.0
Hhcountry,Power,5090,0.0
Hhcountry,Power,5091,0.0
Hhcountry,Power,5092,0.0
Hhcountry,Power,5093,0.0
Hhcountry,Power,5094,0.0
Hhcountry,Power,5095,0.0
Hhcountry,Power,5096,0.0
Hhcountry,Power,5097,0.0
Hhcountry,Power,5098,0.0
Hhcountry,Power,5099,0.0
Hhcountry,Power,5100,0.0
Hhcountry,Power,5101,0.0
Hhcountry,Power,5102,0.0
Hhcountry,Power,5103,0.0
Hhcountry,Power,5104,0.0
Hhcountry,Power,5105,0.0
Hhcountry,Power,5106,0.0
Hhcountry,Power,5107,0.0
Hhcountry,Power,5108,0.0
Hhcountry,Power,5109,0.0
Hhcountry,Power,5110,0.0
Hhcountry,Power,5111,0.0
Hhcountry,Power,5112,0.0
Nicountry,Power,5088,5.780655541002572
Nicountry,Power,5089,5.577625417997895
Nicountry,Power,5090,5.4773851576162995
Nicountry,Power,5091,5.4940247749386115
Nicountry,Power,5092,5.625933973198872
Nicountry,Power,5093,5.9726820569757715
Nicountry,Power,5094,6.7831922806185485
Nicountry,Power,5095,7.560825847356947
Nicountry,Power,5096,8.032236843629832
Nicountry,Power,5097,8.290821814697267
Nicountry,Power,5098,8.554908589280439
Nicountry,Power,5099,8.805844696843353
Nicountry,Power,5100,8.730563865993984
