region,hour,Power
Mvcity,8,0.21498272177799996
Mvcity,9,0.22098491425848485
Mvcity,10,0.22178640471415503
Mvcity,11,0.22435979972136924
Mvcity,12,0.23235673297428214
Mvcity,13,0.23283834593254954
Mvcity,14,0.23188230800525578
Mvcity,15,0.22595199807855387
Mvcity,16,0.22331750288161442
Mvcity,17,0.22112867936605077
Mvcity,18,0.22876260566533033
Mvcity,19,0.23338824744997938
Mvcity,20,0.22861524637304584
Mvcity,21,0.21419920205582454
Mvcity,22,0.20449505843571344
Mvcity,23,0.19626091279333635
Mvcountry,0,1.0293736751046365
Mvcountry,1,0.9479783178130791
Mvcountry,2,0.9034779984867687
Mvcountry,3,0.8823173001890029
Mvcountry,4,0.8942804270116229
Mvcountry,5,0.9218312372867878
Mvcountry,6,0.9824220677062003
Mvcountry,7,1.1240101831656835
Mvcountry,8,1.2531951965089225
Mvcountry,9,1.2881836770847386
Mvcountry,10,1.2928557920379153
Mvcountry,11,1.3078568406574929
Mvcountry,12,1.3544732303676472
Mvcountry,13,1.3572806887572588
Mvcountry,14,1.3517076728039017
Mvcountry,15,1.3171382160006408
Mvcountry,16,1.3017809970635783
Mvcountry,17,1.289021724629849
Mvcountry,18,1.333522043956159
Mvcountry,19,1.3604862205064923
Mvcountry,20,1.3326630448899803
Mvcountry,21,1.2486278380529525
Mvcountry,22,1.1920596354068156
Mvcountry,23,1.1440604674688561
Nicity,0,1.2998039693830539
Nicity,1,1.19702495816911
Nicity,2,1.1408338070856399
Nicity,3,1.1141139090470997
Nicity,4,1.1292199100128752
Nicity,5,1.1640086882976302
Nicity,6,1.2405175439173954
Nicity,7,1.419302759570977
Nicity,8,1.582426411544374
Nicity,9,1.6266068360442567
Nicity,10,1.632506378366374
Nicity,11,1.6514484040002166
Nicity,12,1.7103115455871696
Nicity,13,1.713856561014462
Nicity,14,1.7068194388956435
Nicity,15,1.6631681213430287
Nicity,16,1.6437763546640827
Nicity,17,1.6276650499387937
Nicity,18,1.6838562010222635
Nicity,19,1.7179042290211397
Nicity,20,1.682771531360586
Nicity,21,1.5766591466587028
Nicity,22,1.5052297171730111
Nicity,23,1.444620522939924
Nicountry,0,6.593044432376458
Nicountry,1,6.07171459833165
Nicountry,2,5.786694114838636
Nicountry,3,5.6511617736962405
Nicountry,4,5.7277845090539055
Nicountry,5,5.904244934150429
Nicountry,6,6.292323672524194
Nicountry,7,7.199182628506268
Nicountry,8,8.026600847534013
Nicountry,9,8.250698872028611
Nicountry,10,8.280623341853754
Nicountry,11,8.376703689032887
Nicountry,12,8.675277410188894
Nicountry,13,8.693258924921992
Nicountry,14,8.657564266420946
Nicountry,15,8.436150050942928
Nicountry,16,8.337788465389952
Nicountry,17,8.256066490061777
Nicountry,18,8.541086973554789
Nicountry,19,8.713790063189096
Nicountry,20,8.535585162941542
Nicountry,21,7.997347333511769
Nicountry,22,7.635033158858191
Nicountry,23,7.327602869366964
Nwcity,0,8.621147061875392
Nwcity,1,7.939449674099201
Nwcity,2,7.566753337976619
Nwcity,3,7.389529559703416
Nwcity,4,7.489722403324748
Nwcity,5,7.720464254219544
Nwcity,6,8.22792084872961
Nwcity,7,9.413740920790339
Nwcity,8,10.495683295224179
Nwcity,9,10.788716664748632
Nwcity,10,10.827846274408826
Nwcity,11,10.953482133727428
Nwcity,12,11.343900852317724
Nwcity,13,11.367413705067214
Nwcity,14,11.320738924786687
Nwcity,15,11.031214937377776
Nwcity,16,10.902596102332886
Nwcity,17,10.795735428979711
Nwcity,18,11.168431765102294
Nwcity,19,11.394260477323021
Nwcity,20,11.1612375289812
Nwcity,21,10.457431035733265
Nwcity,22,9.983664505820071
Nwcity,23,9.58166482810465
Nwcountry,0,9.351082069158094
Nwcountry,1,8.611666748473475
Nwcountry,2,8.207414970729335
Nwcountry,3,8.015186015191892
Nwcountry,4,8.12386198333407
Nwcountry,5,8.374140277976373
Nwcountry,6,8.924562191411038
Nwcountry,7,10.210783239899065
Nwcountry,8,11.38433147713674
Nwcountry,9,11.702175386741617
Nwcountry,10,11.744618020957278
Nwcountry,11,11.880891213246601
Nwcountry,12,12.30436589157777
Nwcountry,13,12.329869529801602
Nwcountry,14,12.279242890697711
Nwcountry,15,11.965205495462548
Nwcountry,16,11.825696764952312
Nwcountry,17,11.709788415481047
Nwcountry,18,12.114040193225186
Nwcountry,19,12.358989363723262
Nwcountry,20,12.1062368357473
Nwcountry,21,11.342840476546794
Nwcountry,22,10.828961097034762
Nwcountry,23,10.392924923296846
Rpcity,0,2.6509248270573966
Rpcity,1,2.441309039642333
Rpcity,2,2.32670828370003
Rpcity,3,2.2722135731473077
Rpcity,4,2.3030219672905683
Rpcity,5,2.373973001623711
Rpcity,6,2.5300113194236276
Rpcity,7,2.8946402773670674
Rpcity,8,3.227327781854223
Rpcity,9,3.3174328953447327
Rpcity,10,3.3294648967683007
Rpcity,11,3.3680967883537263
Rpcity,12,3.4881470167781803
Rpcity,13,3.4953770065534626
Rpcity,14,3.4810249333368644
Rpcity,15,3.391998923138637
Rpcity,16,3.352449793469397
Rpcity,17,3.3195911019292974
Rpcity,18,3.4341918578715998
Rpcity,19,3.503632146454044
Rpcity,20,3.431979695266294
Rpcity,21,3.215565557680606
Rpcity,22,3.0698866303450925
Rpcity,23,2.9462753616268587
Rpcountry,0,1.5892954076883867
Rpcountry,1,1.4636255264011293
Rpcountry,2,1.39491952113168
Rpcountry,3,1.3622485859392677
Rpcountry,4,1.380718984960159
Rpcountry,5,1.423255895809334
Rpcountry,6,1.5168047506737345
Rpcountry,7,1.735408885523147
Rpcountry,8,1.9348633240949347
Rpcountry,9,1.9888835820886959
Rpcountry,10,1.996097066383912
Rpcountry,11,2.0192578468256515
Rpcountry,12,2.091230946469792
Rpcountry,13,2.0955655052736506
Rpcountry,14,2.0869610801986225
Rpcountry,15,2.0335877714843504
Rpcountry,16,2.009877083983956
Rpcountry,17,1.990177480647675
Rpcountry,18,2.058883485917124
Rpcountry,19,2.1005146670906543
Rpcountry,20,2.0575572393809014
Rpcountry,21,1.927811577975041
Rpcountry,22,1.8404734355093784
Rpcountry,23,1.7663654035851029
Shcity,0,0.4171687341157632
Shcity,1,0.38418207534894794
Shcity,2,0.36614767022466976
Shcity,3,0.35757198781178196
Shcity,4,0.36242021989052775
Shcity,5,0.37358558862330177
Shcity,6,0.3981409086556699
Shcity,7,0.45552156285402495
Shcity,8,0.5078756785522421
Shcity,9,0.5220552719335897
Shcity,10,0.5239487148375593
Shcity,11,0.5300281091473099
Shcity,12,0.5489200827374209
Shcity,13,0.5500578463025886
