StartRegion,DestRegion,Drive
Shcity,Shcity,57796.0
Slcity,Shcity,0.0
Sncity,Shcity,0.0
Stcity,Shcity,0.0
Thcity,Shcity,0.0
Bbcountry,Slcity,0.0
Becountry,Slcity,0.0
Bwcountry,Slcity,0.0
Bycountry,Slcity,0.0
Hbcountry,Slcity,0.0
Hecountry,Slcity,0.0
Hhcountry,Slcity,0.0
Mvcountry,Slcity,0.0
Nicountry,Slcity,0.0
Nwcountry,Slcity,1340.1440000000002
Rpcountry,Slcity,0.0
Shcountry,Slcity,15160.192000000003
Slcountry,Slcity,0.0
Sncountry,Slcity,0.0
Stcountry,Slcity,0.0
Thcountry,Slcity,0.0
Bbcity,Slcity,0.0
Becity,Slcity,0.0
Bwcity,Slcity,0.0
Bycity,Slcity,0.0
Hbcity,Slcity,0.0
Hecity,Slcity,0.0
Hhcity,Slcity,0.0
Mvcity,Slcity,0.0
Nicity,Slcity,0.0
Nwcity,Slcity,0.0
Rpcity,Slcity,0.0
Shcity,Slcity,0.0
Slcity,Slcity,66000.0
Sncity,Slcity,0.0
Stcity,Slcity,0.0
Thcity,Slcity,0.0
Bbcountry,Sncity,650.8960000000001
Becountry,Sncity,0.0
Bwcountry,Sncity,39.440000000000005
Bycountry,Sncity,0.0
Hbcountry,Sncity,0.0
Hecountry,Sncity,0.0
Hhcountry,Sncity,0.0
Mvcountry,Sncity,0.0
Nicountry,Sncity,0.0
Nwcountry,Sncity,0.0
Rpcountry,Sncity,0.0
Shcountry,Sncity,0.0
Slcountry,Sncity,26822.192000000006
Sncountry,Sncity,2018.92
Stcountry,Sncity,745.2800000000001
Thcountry,Sncity,0.0
Bbcity,Sncity,0.0
Becity,Sncity,0.0
Bwcity,Sncity,0.0
Bycity,Sncity,0.0
Hbcity,Sncity,0.0
Hecity,Sncity,0.0
Hhcity,Sncity,0.0
Mvcity,Sncity,0.0
Nicity,Sncity,0.0
Nwcity,Sncity,0.0
Rpcity,Sncity,0.0
Shcity,Sncity,0.0
Slcity,Sncity,0.0
Sncity,Sncity,121104.0
Stcity,Sncity,0.0
Thcity,Sncity,0.0
Bbcountry,Stcity,89.08000000000001
Becountry,Stcity,0.0
Bwcountry,Stcity,0.0
Bycountry,Stcity,0.0
Hbcountry,Stcity,0.0
Hecountry,Stcity,0.0
Hhcountry,Stcity,0.0
Mvcountry,Stcity,64.32800000000002
Nicountry,Stcity,0.0
Nwcountry,Stcity,0.0
Rpcountry,Stcity,0.0
Shcountry,Stcity,0.0
Slcountry,Stcity,410.7200000000001
Sncountry,Stcity,11247.608
Stcountry,Stcity,82.68800000000002
Thcountry,Stcity,0.0
Bbcity,Stcity,0.0
Becity,Stcity,0.0
Bwcity,Stcity,0.0
Bycity,Stcity,0.0
Hbcity,Stcity,0.0
Hecity,Stcity,0.0
Hhcity,Stcity,0.0
Mvcity,Stcity,0.0
Nicity,Stcity,0.0
Nwcity,Stcity,0.0
Rpcity,Stcity,0.0
Shcity,Stcity,0.0
Slcity,Stcity,0.0
Sncity,Stcity,0.0
Stcity,Stcity,47576.0
Thcity,Stcity,0.0
Bbcountry,Thcity,1.4960000000000002
Becountry,Thcity,0.0
Bwcountry,Thcity,45.696000000000005
Bycountry,Thcity,0.0
Hbcountry,Thcity,0.0
Hecountry,Thcity,0.0
Hhcountry,Thcity,0.0
Mvcountry,Thcity,0.0
Nicountry,Thcity,0.0
Nwcountry,Thcity,0.0
Rpcountry,Thcity,0.0
Shcountry,Thcity,0.0
Slcountry,Thcity,71.26400000000001
Sncountry,Thcity,242.08000000000004
Stcountry,Thcity,11286.504
Thcountry,Thcity,0.0
Bbcity,Thcity,0.0
Becity,Thcity,0.0
Bwcity,Thcity,0.0
Bycity,Thcity,0.0
Hbcity,Thcity,0.0
Hecity,Thcity,0.0
Hhcity,Thcity,0.0
Mvcity,Thcity,0.0
Nicity,Thcity,0.0
Nwcity,Thcity,0.0
Rpcity,Thcity,0.0
Shcity,Thcity,0.0
Slcity,Thcity,0.0
Sncity,Thcity,0.0
Stcity,Thcity,0.0
Thcity,Thcity,46588.0
Bbcountry,Bbcountry,0.0
Becountry,Bbcountry,0.0
Bwcountry,Bbcountry,0.0
Bycountry,Bbcountry,0.0
Hbcountry,Bbcountry,0.0
Hecountry,Bbcountry,0.0
Hhcountry,Bbcountry,0.0
Mvcountry,Bbcountry,0.0
Nicountry,Bbcountry,0.0
Nwcountry,Bbcountry,0.0
Rpcountry,Bbcountry,0.0
Shcountry,Bbcountry,0.0
Slcountry,Bbcountry,0.0
Sncountry,Bbcountry,0.0
Stcountry,Bbcountry,0.0
Thcountry,Bbcountry,0.0
Bbcity,Bbcountry,0.0
Becity,Bbcountry,0.0
Bwcity,Bbcountry,0.0
Bycity,Bbcountry,0.0
Hbcity,Bbcountry,0.0
Hecity,Bbcountry,0.0
Hhcity,Bbcountry,0.0
Mvcity,Bbcountry,0.0
Nicity,Bbcountry,0.0
Nwcity,Bbcountry,0.0
Rpcity,Bbcountry,0.0
Shcity,Bbcountry,0.0
Slcity,Bbcountry,0.0
Sncity,Bbcountry,0.0
Stcity,Bbcountry,0.0
Thcity,Bbcountry,0.0
Bbcountry,Becountry,0.0
Becountry,Becountry,0.0
Bwcountry,Becountry,0.0
Bycountry,Becountry,0.0
Hbcountry,Becountry,0.0
Hecountry,Becountry,0.0
Hhcountry,Becountry,0.0
Mvcountry,Becountry,0.0
Nicountry,Becountry,0.0
Nwcountry,Becountry,0.0
Rpcountry,Becountry,0.0
Shcountry,Becountry,0.0
Slcountry,Becountry,0.0
Sncountry,Becountry,0.0
Stcountry,Becountry,0.0
Thcountry,Becountry,0.0
Bbcity,Becountry,0.0
Becity,Becountry,0.0
Bwcity,Becountry,0.0
Bycity,Becountry,0.0
Hbcity,Becountry,0.0
Hecity,Becountry,0.0
Hhcity,Becountry,0.0
Mvcity,Becountry,0.0
Nicity,Becountry,0.0
Nwcity,Becountry,0.0
Rpcity,Becountry,0.0
Shcity,Becountry,0.0
Slcity,Becountry,0.0
Sncity,Becountry,0.0
Stcity,Becountry,0.0
Thcity,Becountry,0.0
Bbcountry,Bwcountry,0.0
Becountry,Bwcountry,0.0
Bwcountry,Bwcountry,0.0
Bycountry,Bwcountry,0.0
Hbcountry,Bwcountry,0.0
Hecountry,Bwcountry,0.0
Hhcountry,Bwcountry,0.0
Mvcountry,Bwcountry,0.0
Nicountry,Bwcountry,0.0
Nwcountry,Bwcountry,0.0
Rpcountry,Bwcountry,0.0
Shcountry,Bwcountry,0.0
Slcountry,Bwcountry,0.0
Sncountry,Bwcountry,0.0
Stcountry,Bwcountry,0.0
Thcountry,Bwcountry,0.0
Bbcity,Bwcountry,0.0
Becity,Bwcountry,0.0
Bwcity,Bwcountry,0.0
Bycity,Bwcountry,0.0
Hbcity,Bwcountry,0.0
Hecity,Bwcountry,0.0
Hhcity,Bwcountry,0.0
Mvcity,Bwcountry,0.0
Nicity,Bwcountry,0.0
Nwcity,Bwcountry,0.0
Rpcity,Bwcountry,0.0
Shcity,Bwcountry,0.0
Slcity,Bwcountry,0.0
Sncity,Bwcountry,0.0
Stcity,Bwcountry,0.0
Thcity,Bwcountry,0.0
Bbcountry,Bycountry,0.0
Becountry,Bycountry,0.0
Bwcountry,Bycountry,0.0
Bycountry,Bycountry,0.0
Hbcountry,Bycountry,0.0
Hecountry,Bycountry,0.0
Hhcountry,Bycountry,0.0
Mvcountry,Bycountry,0.0
Nicountry,Bycountry,0.0
Nwcountry,Bycountry,0.0
Rpcountry,Bycountry,0.0
Shcountry,Bycountry,0.0
Slcountry,Bycountry,0.0
Sncountry,Bycountry,0.0
Stcountry,Bycountry,0.0
Thcountry,Bycountry,0.0
Bbcity,Bycountry,0.0
Becity,Bycountry,0.0
Bwcity,Bycountry,0.0
Bycity,Bycountry,0.0
Hbcity,Bycountry,0.0
Hecity,Bycountry,0.0
Hhcity,Bycountry,0.0
Mvcity,Bycountry,0.0
Nicity,Bycountry,0.0
Nwcity,Bycountry,0.0
Rpcity,Bycountry,0.0
Shcity,Bycountry,0.0
Slcity,Bycountry,0.0
Sncity,Bycountry,0.0
Stcity,Bycountry,0.0
Thcity,Bycountry,0.0
Bbcountry,Hbcountry,0.0
Becountry,Hbcountry,0.0
Bwcountry,Hbcountry,0.0
Bycountry,Hbcountry,0.0
Hbcountry,Hbcountry,0.0
Hecountry,Hbcountry,0.0
Hhcountry,Hbcountry,0.0
Mvcountry,Hbcountry,0.0
Nicountry,Hbcountry,0.0
Nwcountry,Hbcountry,0.0
Rpcountry,Hbcountry,0.0
Shcountry,Hbcountry,0.0
Slcountry,Hbcountry,0.0
Sncountry,Hbcountry,0.0
Stcountry,Hbcountry,0.0
Thcountry,Hbcountry,0.0
Bbcity,Hbcountry,0.0
Becity,Hbcountry,0.0
Bwcity,Hbcountry,0.0
Bycity,Hbcountry,0.0
Hbcity,Hbcountry,0.0
Hecity,Hbcountry,0.0
Hhcity,Hbcountry,0.0
Mvcity,Hbcountry,0.0
Nicity,Hbcountry,0.0
Nwcity,Hbcountry,0.0
Rpcity,Hbcountry,0.0
Shcity,Hbcountry,0.0
Slcity,Hbcountry,0.0
Sncity,Hbcountry,0.0
Stcity,Hbcountry,0.0
Thcity,Hbcountry,0.0
Bbcountry,Hecountry,0.0
Becountry,Hecountry,0.0
Bwcountry,Hecountry,0.0
Bycountry,Hecountry,0.0
Hbcountry,Hecountry,0.0
Hecountry,Hecountry,0.0
Hhcountry,Hecountry,0.0
Mvcountry,Hecountry,0.0
Nicountry,Hecountry,0.0
Nwcountry,Hecountry,0.0
Rpcountry,Hecountry,0.0
Shcountry,Hecountry,0.0
Slcountry,Hecountry,0.0
Sncountry,Hecountry,0.0
Stcountry,Hecountry,0.0
Thcountry,Hecountry,0.0
Bbcity,Hecountry,0.0
Becity,Hecountry,0.0
Bwcity,Hecountry,0.0
Bycity,Hecountry,0.0
Hbcity,Hecountry,0.0
Hecity,Hecountry,0.0
Hhcity,Hecountry,0.0
Mvcity,Hecountry,0.0
Nicity,Hecountry,0.0
Nwcity,Hecountry,0.0
Rpcity,Hecountry,0.0
Shcity,Hecountry,0.0
Slcity,Hecountry,0.0
Sncity,Hecountry,0.0
Stcity,Hecountry,0.0
Thcity,Hecountry,0.0
Bbcountry,Hhcountry,0.0
Becountry,Hhcountry,0.0
Bwcountry,Hhcountry,0.0
Bycountry,Hhcountry,0.0
Hbcountry,Hhcountry,0.0
Hecountry,Hhcountry,0.0
Hhcountry,Hhcountry,0.0
Mvcountry,Hhcountry,0.0
Nicountry,Hhcountry,0.0
Nwcountry,Hhcountry,0.0
Rpcountry,Hhcountry,0.0
Shcountry,Hhcountry,0.0
Slcountry,Hhcountry,0.0
Sncountry,Hhcountry,0.0
Stcountry,Hhcountry,0.0
Thcountry,Hhcountry,0.0
Bbcity,Hhcountry,0.0
Becity,Hhcountry,0.0
Bwcity,Hhcountry,0.0
