region,hour,Power
Hecity,7,2.688650148991027
Hecity,8,2.8562851760308536
Hecity,9,2.948238692091581
Hecity,10,3.0421486643835385
Hecity,11,3.131382223865947
Hecity,12,3.104612156526004
Hecity,13,3.0818981593832886
Hecity,14,3.039476429574037
Hecity,15,2.9904695474450342
Hecity,16,2.9057215237924825
Hecity,17,2.882768932949046
Hecity,18,2.8432103124050947
Hecity,19,2.7769770604871513
Hecity,20,2.6719964000455882
Hecity,21,2.596362605787518
Hecity,22,2.4774481479310486
Hecity,23,2.2659598364493183
Hecountry,0,1.8453471813383708
Hecountry,1,1.7805342786224128
Hecountry,2,1.7485347794929906
Hecountry,3,1.7538466114654163
Hecountry,4,1.79595572270299
Hecountry,5,1.9066474244474618
Hecountry,6,2.1653849925374864
Hecountry,7,2.4136274107746964
Hecountry,8,2.564115006351652
Hecountry,9,2.646662572819
Hecountry,10,2.7309664690897817
Hecountry,11,2.8110723040600027
Hecountry,12,2.7870405540220817
Hecountry,13,2.7666499776830635
Hecountry,14,2.728567577889058
Hecountry,15,2.6845736227560133
Hecountry,16,2.6084944969636363
Hecountry,17,2.587889732736947
Hecountry,18,2.5523775740006576
Hecountry,19,2.4929193390220807
Hecountry,20,2.398677178234417
Hecountry,21,2.330779984889765
Hecountry,22,2.224029318527503
Hecountry,23,2.034174202627683
Hhcity,0,1.1833219309569543
Hhcity,1,1.1417609011581344
Hhcity,2,1.1212413428428147
Hhcity,3,1.1246475350922163
Hhcity,4,1.1516498441018346
Hhcity,5,1.222630481010593
Hhcity,6,1.3885449722129148
Hhcity,7,1.547729488094003
Hhcity,8,1.6442290920623142
Hhcity,9,1.6971624082077865
Hhcity,10,1.7512219642258493
Hhcity,11,1.8025895292436864
Hhcity,12,1.787179260028913
Hhcity,13,1.7741038797368898
Hhcity,14,1.7496836842769576
Hhcity,15,1.721472726217179
Hhcity,16,1.6726872732961413
Hhcity,17,1.6594745458277225
Hhcity,18,1.636702507767221
Hhcity,19,1.5985751384907727
Hhcity,20,1.5381427077760643
Hhcity,21,1.4946038882261947
Hhcity,22,1.4261504254154096
Hhcity,23,1.3044065472874502
Hhcountry,0,0.0
Hhcountry,1,0.0
Hhcountry,2,0.0
Hhcountry,3,0.0
Hhcountry,4,0.0
Hhcountry,5,0.0
Hhcountry,6,0.0
Hhcountry,7,0.0
Hhcountry,8,0.0
Hhcountry,9,0.0
Hhcountry,10,0.0
Hhcountry,11,0.0
Hhcountry,12,0.0
Hhcountry,13,0.0
Hhcountry,14,0.0
Hhcountry,15,0.0
Hhcountry,16,0.0
Hhcountry,17,0.0
Hhcountry,18,0.0
Hhcountry,19,0.0
Hhcountry,20,0.0
Hhcountry,21,0.0
Hhcountry,22,0.0
Hhcountry,23,0.0
Mvcity,0,0.15482781384944702
Mvcity,1,0.14938989943516823
Mvcity,2,0.14670508622246298
Mvcity,3,0.1471507580939369
Mvcity,4,0.15068378521316347
Mvcity,5,0.15997101005935302
Mvcity,6,0.18167953864043387
Mvcity,7,0.20250750603272247
Mvcity,8,0.21513367506490494
Mvcity,9,0.22205955838051064
Mvcity,10,0.2291328007983028
Mvcity,11,0.23585381862651908
Mvcity,12,0.23383751331607383
Mvcity,13,0.2321267087641571
Mvcity,14,0.22893152968573008
Mvcity,15,0.22524036091016142
Mvcity,16,0.21885719093264652
Mvcity,17,0.21712841564723498
Mvcity,18,0.21414888423015685
Mvcity,19,0.2091602356819725
Mvcity,20,0.2012531557163373
Mvcity,21,0.195556463994381
Mvcity,22,0.18659989881955383
Mvcity,23,0.17067072687826987
Mvcountry,0,0.9025351944444516
Mvcountry,1,0.8708360505940076
Mvcountry,2,0.8551855136863935
Mvcountry,3,0.8577834612978626
Mvcountry,4,0.8783784773918657
Mvcountry,5,0.9325163423788093
Mvcountry,6,1.0590615061765782
Mvcountry,7,1.1804736293146136
Mvcountry,8,1.2540751459880342
Mvcountry,9,1.294448082151998
Mvcountry,10,1.335680016274005
Mvcountry,11,1.3748587334672369
Mvcountry,12,1.3631051185308944
Mvcountry,13,1.3531323540738438
Mvcountry,14,1.3345067499324774
Mvcountry,15,1.312989881317226
Mvcountry,16,1.2757805749684947
Mvcountry,17,1.2657030540142373
Mvcountry,18,1.2483345211905366
Mvcountry,19,1.2192542753644946
Mvcountry,20,1.173161665924102
Mvcountry,21,1.1399540358275777
Mvcountry,22,1.0877436797511335
Mvcountry,23,0.9948880232775137
Nicity,0,1.139643315754657
Nicity,1,1.099616380930757
Nicity,2,1.0798542377096132
Nicity,3,1.083134701062529
Nicity,4,1.1091403045823311
Nicity,5,1.1775009140537172
Nicity,6,1.3372911925391746
Nicity,7,1.4905999116202229
Nicity,8,1.5835375355739343
Nicity,9,1.6345169844861427
Nicity,10,1.6865811016607706
Nicity,11,1.7360525942340796
Nicity,12,1.7212111467419389
Nicity,13,1.7086184030760594
Nicity,14,1.6850996024882705
Nicity,15,1.657929963404626
Nicity,16,1.6109452723640723
Nicity,17,1.598220251261747
Nicity,18,1.576288771515763
Nicity,19,1.539568754412662
Nicity,20,1.4813669972094234
Nicity,21,1.4394352765358027
Nicity,22,1.3735085584621483
Nicity,23,1.2562584734997444
Nicountry,0,5.780655541002572
Nicountry,1,5.577625417997895
Nicountry,2,5.4773851576162995
Nicountry,3,5.4940247749386115
Nicountry,4,5.625933973198872
Nicountry,5,5.9726820569757715
Nicountry,6,6.7831922806185485
Nicountry,7,7.560825847356947
Nicountry,8,8.032236843629832
Nicountry,9,8.290821814697267
Nicountry,10,8.554908589280439
Nicountry,11,8.805844696843353
Nicountry,12,8.730563865993984
Nicountry,13,8.66668921991633
Nicountry,14,8.54739392545351
Nicountry,15,8.409580345937266
Nicountry,16,8.171258135074284
Nicountry,17,8.106712533193733
Nicountry,18,7.995468665780658
Nicountry,19,7.8092123455808675
Nicountry,20,7.513993389244342
Nicountry,21,7.301301549521464
Nicountry,22,6.96689898438184
Nicountry,23,6.372166980121259
Nwcity,0,7.558857223576258
Nwcity,1,7.293372504586877
Nwcity,2,7.16229709092416
Nwcity,3,7.184055261896667
Nwcity,4,7.356541373385812
Nwcity,5,7.80995348888503
Nwcity,6,8.869786757847127
Nwcity,7,9.886630100534253
Nwcity,8,10.503052993954498
Nwcity,9,10.84118192459172
Nwcity,10,11.18650508206925
Nwcity,11,11.514632263468311
Nwcity,12,11.416194110904751
Nwcity,13,11.33267082769184
Nwcity,14,11.176678814001892
Nwcity,15,10.9964720600024
Nwcity,16,10.684838967121745
Nwcity,17,10.600438333739556
Nwcity,18,10.454974466396228
Nwcity,19,10.211423380988577
Nwcity,20,9.8253913946831
Nwcity,21,9.5472728945093
Nwcity,22,9.110003933029251
Nwcity,23,8.332324952745747
Nwcountry,0,8.198850308364188
Nwcountry,1,7.910887537568229
Nwcountry,2,7.768714234919304
Nwcountry,3,7.792314626024849
Nwcountry,4,7.979404786156519
Nwcountry,5,8.471206384337522
Nwcountry,6,9.62077358305931
Nwcountry,7,10.723710985785383
Nwcountry,8,11.39232515328651
Nwcountry,9,11.75908277354888
Nwcountry,10,12.133643741222564
Nwcountry,11,12.48955278445801
Nwcountry,12,12.38278007350069
Nwcountry,13,12.292185043581371
Nwcountry,14,12.122985503000674
Nwcountry,15,11.927521009242316
Nwcountry,16,11.589502575491267
Nwcountry,17,11.497955911946233
Nwcountry,18,11.34017591447468
Nwcountry,19,11.076003853456147
Nwcountry,20,10.657287323120409
Nwcountry,21,10.355621094553529
Nwcountry,22,9.881329458446587
Nwcountry,23,9.037805978810187
Rpcity,0,2.324280299865516
Rpcity,1,2.242646147504796
Rpcity,2,2.2023416421064477
Rpcity,3,2.2090320830893475
Rpcity,4,2.262070003912113
Rpcity,5,2.401490132723142
Rpcity,6,2.7273792870396734
Rpcity,7,3.0400494274526313
Rpcity,8,3.229593897626512
Rpcity,9,3.333565488708221
Rpcity,10,3.4397492395414764
Rpcity,11,3.540645383101046
Rpcity,12,3.510376540603927
Rpcity,13,3.484693885672127
Rpcity,14,3.4367277508938385
Rpcity,15,3.381315802257301
Rpcity,16,3.285491441888449
Rpcity,17,3.2595390097066987
Rpcity,18,3.2148101848052564
Rpcity,19,3.1399204265944194
Rpcity,20,3.021219078712197
Rpcity,21,2.935700152787006
Rpcity,22,2.80124389797897
Rpcity,23,2.5621146380883775
Rpcountry,0,1.3934638843973792
Rpcountry,1,1.3445221784186994
Rpcountry,2,1.3203586243695824
Rpcountry,3,1.3243697102445962
Rpcountry,4,1.356167263738608
Rpcountry,5,1.439753100725412
Rpcountry,6,1.635131759178597
Rpcountry,7,1.822585289813488
Rpcountry,8,1.9362219168975026
Rpcountry,9,1.9985554733037918
Rpcountry,10,2.0622152745354043
Rpcountry,11,2.122705023613159
Rpcountry,12,2.1045580992320128
Rpcountry,13,2.089160708433246
Rpcountry,14,2.0604038168950143
Rpcountry,15,2.0271829746439463
Rpcountry,16,1.9697338858110713
Rpcountry,17,1.9541747568369825
Rpcountry,18,1.9273587131372185
Rpcountry,19,1.8824604392998971
Rpcountry,20,1.8112960271105685
Rpcountry,21,1.7600253026991866
Rpcountry,22,1.6794154317136736
Rpcountry,23,1.5360514891721926
Shcity,0,0.3657655851001278
Shcity,1,0.352919043525904
Shcity,2,0.3465764345901181
Shcity,3,0.3476292908488188
Shcity,4,0.3559757222767992
Shcity,5,0.37791588370752327
Shcity,6,0.42920016177556386
Shcity,7,0.478404200057049
Shcity,8,0.5082322909459382
Shcity,9,0.5245940136899605
Shcity,10,0.5413038579173968
Shcity,11,0.5571816059607579
Shcity,12,0.5524182816375672
Shcity,13,0.5483766730120507
Shcity,14,0.5408283745761059
Shcity,15,0.5321083489338655
Shcity,16,0.5170287334334517
Shcity,17,0.5129446707056134
Shcity,18,0.5059058188029992
Shcity,19,0.49412062394867
Shcity,20,0.4754409199719909
Shcity,21,0.4619830422883175
Shcity,22,0.44082403202906495
Shcity,23,0.4031929194375655
Shcountry,0,1.488459167645533
Shcountry,1,1.4361810054628925
Shcountry,2,1.4103701725091125
Shcountry,3,1.414654702312667
Shcountry,4,1.4486199600683995
Shcountry,5,1.5379040145325296
Shcountry,6,1.746602035768074
Shcountry,7,1.9468346570115664
Shcountry,8,2.068218125400965
Shcountry,9,2.134801087847111
Shcountry,10,2.2028007079410785
Shcountry,11,2.2674141669417036
Shcountry,12,2.2480301296070233
Shcountry,13,2.2315830671830437
Shcountry,14,2.2008657595281123
Shcountry,15,2.165380184509501
Shcountry,16,2.104014673782142
Shcountry,17,2.0873948471606023
Shcountry,18,2.0587506989111777
Shcountry,19,2.010791617909576
Shcountry,20,1.9347757821786629
Shcountry,21,1.880009827612893
Shcountry,22,1.7939046168395258
Shcountry,23,1.640767261092442
Slcity,0,1.7656285170906798
Slcity,1,1.7036155200416785
Slcity,2,1.672998393483115
Slcity,3,1.6780807552757107
Slcity,4,1.7183707605290748
Slcity,5,1.8242806007920809
Slcity,6,2.071840752769072
Slcity,7,2.309359143467391
Slcity,8,2.4533457021519065
Slcity,9,2.5323272286880036
Slcity,10,2.612989211897901
Slcity,11,2.689634489295622
Slcity,12,2.666640906509875
Slcity,13,2.647131199378248
Slcity,14,2.6106939523628774
Slcity,15,2.568600528129192
Slcity,16,2.495808006801619
Slcity,17,2.4760933646603025
Slcity,18,2.4421153247541376
Slcity,19,2.385225674765395
Slcity,20,2.295054758267036
Slcity,21,2.23009071138628
Slcity,22,2.127951654490253
Slcity,23,1.946298245235763
Slcountry,0,0.9572425799722295
Slcountry,1,0.9236219849759449
Slcountry,2,0.9070227870503541
Slcountry,3,0.9097782098743539
Slcountry,4,0.9316215977685267
Slcountry,5,0.9890410423212566
Slcountry,6,1.123256771328199
Slcountry,7,1.2520283191946486
Slcountry,8,1.3300912093113069
Slcountry,9,1.3729113606057233
Slcountry,10,1.4166425782237682
Slcountry,11,1.4581961226804325
Slcountry,12,1.4457300595784945
