StartRegion,DestRegion,Drive
Hecountry,Shcity,0.0
Hhcountry,Shcity,0.0
Mvcountry,Shcity,0.115
Nicountry,Shcity,0.145
Nwcountry,Shcity,0.0
Rpcountry,Shcity,0.0
Shcountry,Shcity,0.024
Slcountry,Shcity,0.0
Sncountry,Shcity,0.0
Stcountry,Shcity,0.0
Thcountry,Shcity,0.0
Bbcity,Shcity,0.0
Becity,Shcity,0.0
Bwcity,Shcity,0.0
Bycity,Shcity,0.0
Hbcity,Shcity,0.0
Hecity,Shcity,0.0
Hhcity,Shcity,0.067
Mvcity,Shcity,0.121
Nicity,Shcity,0.214
Nwcity,Shcity,0.0
Rpcity,Shcity,0.0
Shcity,Shcity,0.024
Slcity,Shcity,0.0
Sncity,Shcity,0.0
Stcity,Shcity,0.0
Thcity,Shcity,0.0
Bbcountry,Slcity,0.0
Becountry,Slcity,0.0
Bwcountry,Slcity,0.0
Bycountry,Slcity,0.0
Hbcountry,Slcity,0.0
Hecountry,Slcity,0.0
Hhcountry,Slcity,0.0
Mvcountry,Slcity,0.0
Nicountry,Slcity,0.0
Nwcountry,Slcity,0.0
Rpcountry,Slcity,0.051
Shcountry,Slcity,0.0
Slcountry,Slcity,0.016
Sncountry,Slcity,0.0
Stcountry,Slcity,0.0
Thcountry,Slcity,0.0
Bbcity,Slcity,0.0
Becity,Slcity,0.0
Bwcity,Slcity,0.0
Bycity,Slcity,0.0
Hbcity,Slcity,0.0
Hecity,Slcity,0.0
Hhcity,Slcity,0.0
Mvcity,Slcity,0.0
Nicity,Slcity,0.0
Nwcity,Slcity,0.0
Rpcity,Slcity,0.075
Shcity,Slcity,0.0
Slcity,Slcity,0.015
Sncity,Slcity,0.0
Stcity,Slcity,0.0
Thcity,Slcity,0.0
Bbcountry,Sncity,0.092
Becountry,Sncity,0.0
Bwcountry,Sncity,0.0
Bycountry,Sncity,0.2
Hbcountry,Sncity,0.0
Hecountry,Sncity,0.0
Hhcountry,Sncity,0.0
Mvcountry,Sncity,0.0
Nicountry,Sncity,0.0
Nwcountry,Sncity,0.0
Rpcountry,Sncity,0.0
Shcountry,Sncity,0.0
Slcountry,Sncity,0.0
Sncountry,Sncity,0.024
Stcountry,Sncity,0.046
Thcountry,Sncity,0.09
Bbcity,Sncity,0.126
Becity,Sncity,0.0
Bwcity,Sncity,0.0
Bycity,Sncity,0.312
Hbcity,Sncity,0.0
Hecity,Sncity,0.0
Hhcity,Sncity,0.0
Mvcity,Sncity,0.0
Nicity,Sncity,0.0
Nwcity,Sncity,0.0
Rpcity,Sncity,0.0
Shcity,Sncity,0.0
Slcity,Sncity,0.0
Sncity,Sncity,0.08
Stcity,Sncity,0.052
Thcity,Sncity,0.11
Bbcountry,Stcity,0.09
Becountry,Stcity,0.0
Bwcountry,Stcity,0.0
Bycountry,Stcity,0.0
Hbcountry,Stcity,0.0
Hecountry,Stcity,0.0
