country,Plant,hour,value
Mvcountry,Solar PV,14,0.056
Slcountry,Solar PV,14,0.144
Stcountry,Solar PV,14,0.186
Shcountry,Solar PV,14,0.068
Thcountry,Solar PV,14,0.157
Bwcountry,Solar PV,14,0.2045
Bycountry,Solar PV,14,0.163142857142857
Hecountry,Solar PV,14,0.0876666666666667
Nicountry,Solar PV,14,0.14775
Nwcountry,Solar PV,14,0.0994
Rpcountry,Solar PV,14,0.107666666666667
Sncountry,Solar PV,14,0.155666666666667
Becountry,Solar PV,15,0.004
Bbcountry,Solar PV,15,0.005
Hbcountry,Solar PV,15,0.025
Hhcountry,Solar PV,15,0.01
Mvcountry,Solar PV,15,0.001
Slcountry,Solar PV,15,0.049
Stcountry,Solar PV,15,0.023
Shcountry,Solar PV,15,0.005
Thcountry,Solar PV,15,0.024
Bwcountry,Solar PV,15,0.04725
Bycountry,Solar PV,15,0.0307142857142857
Hecountry,Solar PV,15,0.016
Nicountry,Solar PV,15,0.02175
Nwcountry,Solar PV,15,0.019
Rpcountry,Solar PV,15,0.0276666666666667
Sncountry,Solar PV,15,0.0126666666666667
Becountry,Solar PV,16,0.0
Bbcountry,Solar PV,16,0.0
Hbcountry,Solar PV,16,0.0
Hhcountry,Solar PV,16,0.0
Mvcountry,Solar PV,16,0.0
Slcountry,Solar PV,16,0.0
Stcountry,Solar PV,16,0.0
Shcountry,Solar PV,16,0.0
Thcountry,Solar PV,16,0.0
Bwcountry,Solar PV,16,0.0
Bycountry,Solar PV,16,0.0
Hecountry,Solar PV,16,0.0
Nicountry,Solar PV,16,0.0
Nwcountry,Solar PV,16,0.0
Rpcountry,Solar PV,16,0.0
Sncountry,Solar PV,16,0.0
Becountry,Solar PV,17,0.0
Bbcountry,Solar PV,17,0.0
Hbcountry,Solar PV,17,0.0
Hhcountry,Solar PV,17,0.0
Mvcountry,Solar PV,17,0.0
Slcountry,Solar PV,17,0.0
Stcountry,Solar PV,17,0.0
Shcountry,Solar PV,17,0.0
Thcountry,Solar PV,17,0.0
Bwcountry,Solar PV,17,0.0
Bycountry,Solar PV,17,0.0
Hecountry,Solar PV,17,0.0
Nicountry,Solar PV,17,0.0
Nwcountry,Solar PV,17,0.0
Rpcountry,Solar PV,17,0.0
Sncountry,Solar PV,17,0.0
Becountry,Solar PV,18,0.0
Bbcountry,Solar PV,18,0.0
Hbcountry,Solar PV,18,0.0
Hhcountry,Solar PV,18,0.0
Mvcountry,Solar PV,18,0.0
Slcountry,Solar PV,18,0.0
Stcountry,Solar PV,18,0.0
Shcountry,Solar PV,18,0.0
Thcountry,Solar PV,18,0.0
Bwcountry,Solar PV,18,0.0
Bycountry,Solar PV,18,0.0
Hecountry,Solar PV,18,0.0
Nicountry,Solar PV,18,0.0
Nwcountry,Solar PV,18,0.0
Rpcountry,Solar PV,18,0.0
Sncountry,Solar PV,18,0.0
Becountry,Solar PV,19,0.0
Bbcountry,Solar PV,19,0.0
Hbcountry,Solar PV,19,0.0
Hhcountry,Solar PV,19,0.0
Mvcountry,Solar PV,19,0.0
Slcountry,Solar PV,19,0.0
Stcountry,Solar PV,19,0.0
Shcountry,Solar PV,19,0.0
Thcountry,Solar PV,19,0.0
Bwcountry,Solar PV,19,0.0
Bycountry,Solar PV,19,0.0
Hecountry,Solar PV,19,0.0
Nicountry,Solar PV,19,0.0
Nwcountry,Solar PV,19,0.0
Rpcountry,Solar PV,19,0.0
Sncountry,Solar PV,19,0.0
Becountry,Solar PV,20,0.0
Bbcountry,Solar PV,20,0.0
Hbcountry,Solar PV,20,0.0
Hhcountry,Solar PV,20,0.0
Mvcountry,Solar PV,20,0.0
Slcountry,Solar PV,20,0.0
Stcountry,Solar PV,20,0.0
Shcountry,Solar PV,20,0.0
Thcountry,Solar PV,20,0.0
Bwcountry,Solar PV,20,0.0
Bycountry,Solar PV,20,0.0
Hecountry,Solar PV,20,0.0
Nicountry,Solar PV,20,0.0
Nwcountry,Solar PV,20,0.0
Rpcountry,Solar PV,20,0.0
Sncountry,Solar PV,20,0.0
Becountry,Solar PV,21,0.0
Bbcountry,Solar PV,21,0.0
Hbcountry,Solar PV,21,0.0
Hhcountry,Solar PV,21,0.0
Mvcountry,Solar PV,21,0.0
Slcountry,Solar PV,21,0.0
Stcountry,Solar PV,21,0.0
Shcountry,Solar PV,21,0.0
Thcountry,Solar PV,21,0.0
Bwcountry,Solar PV,21,0.0
Bycountry,Solar PV,21,0.0
Hecountry,Solar PV,21,0.0
Nicountry,Solar PV,21,0.0
Nwcountry,Solar PV,21,0.0
Rpcountry,Solar PV,21,0.0
Sncountry,Solar PV,21,0.0
Becountry,Solar PV,22,0.0
Bbcountry,Solar PV,22,0.0
Hbcountry,Solar PV,22,0.0
Hhcountry,Solar PV,22,0.0
Mvcountry,Solar PV,22,0.0
Slcountry,Solar PV,22,0.0
Stcountry,Solar PV,22,0.0
Shcountry,Solar PV,22,0.0
Thcountry,Solar PV,22,0.0
Bwcountry,Solar PV,22,0.0
Bycountry,Solar PV,22,0.0
Hecountry,Solar PV,22,0.0
Nicountry,Solar PV,22,0.0
Nwcountry,Solar PV,22,0.0
Rpcountry,Solar PV,22,0.0
Sncountry,Solar PV,22,0.0
Becountry,Solar PV,23,0.0
Bbcountry,Solar PV,23,0.0
Hbcountry,Solar PV,23,0.0
Hhcountry,Solar PV,23,0.0
