country,Plant,hour,value
Thcountry,Onshore,14,0.0387
Bwcountry,Onshore,14,0.040275
Bycountry,Onshore,14,0.0542285714285714
Hecountry,Onshore,14,0.0710666666666667
Nicountry,Onshore,14,0.099075
Nwcountry,Onshore,14,0.13648
Rpcountry,Onshore,14,0.1035
Sncountry,Onshore,14,0.0301666666666667
Becountry,Onshore,15,0.0053
Bbcountry,Onshore,15,0.0102
Hbcountry,Onshore,15,0.1529
Hhcountry,Onshore,15,0.0232
Mvcountry,Onshore,15,0.0541
Slcountry,Onshore,15,0.1018
Stcountry,Onshore,15,0.0033
Shcountry,Onshore,15,0.0166
Thcountry,Onshore,15,0.0399
Bwcountry,Onshore,15,0.034175
Bycountry,Onshore,15,0.0516142857142857
Hecountry,Onshore,15,0.0692666666666667
Nicountry,Onshore,15,0.097725
Nwcountry,Onshore,15,0.1203
Rpcountry,Onshore,15,0.0955333333333333
Sncountry,Onshore,15,0.0231
Becountry,Onshore,16,0.0019
Bbcountry,Onshore,16,0.0045
Hbcountry,Onshore,16,0.1638
Hhcountry,Onshore,16,0.0285
Mvcountry,Onshore,16,0.0598
Slcountry,Onshore,16,0.0953
Stcountry,Onshore,16,0.0026
Shcountry,Onshore,16,0.0218
Thcountry,Onshore,16,0.0339
Bwcountry,Onshore,16,0.02685
Bycountry,Onshore,16,0.0445714285714286
Hecountry,Onshore,16,0.0612666666666667
Nicountry,Onshore,16,0.091175
Nwcountry,Onshore,16,0.09888
Rpcountry,Onshore,16,0.0881
Sncountry,Onshore,16,0.0140333333333333
Becountry,Onshore,17,0.0014
Bbcountry,Onshore,17,0.0043
Hbcountry,Onshore,17,0.1325
Hhcountry,Onshore,17,0.0372
Mvcountry,Onshore,17,0.0664
Slcountry,Onshore,17,0.0864
Stcountry,Onshore,17,0.0016
Shcountry,Onshore,17,0.034
Thcountry,Onshore,17,0.0199
Bwcountry,Onshore,17,0.021225
Bycountry,Onshore,17,0.0327714285714286
Hecountry,Onshore,17,0.0483
Nicountry,Onshore,17,0.073075
Nwcountry,Onshore,17,0.06968
Rpcountry,Onshore,17,0.0786666666666667
Sncountry,Onshore,17,0.0077
Becountry,Onshore,18,0.0024
Bbcountry,Onshore,18,0.0075
Hbcountry,Onshore,18,0.0847
Hhcountry,Onshore,18,0.0564
Mvcountry,Onshore,18,0.0735
Slcountry,Onshore,18,0.075
Stcountry,Onshore,18,0.0023
Shcountry,Onshore,18,0.0487
Thcountry,Onshore,18,0.0199
Bwcountry,Onshore,18,0.0224
Bycountry,Onshore,18,0.0268285714285714
Hecountry,Onshore,18,0.0437
Nicountry,Onshore,18,0.064025
Nwcountry,Onshore,18,0.04456
Rpcountry,Onshore,18,0.0691333333333333
Sncountry,Onshore,18,0.0045333333333333
Becountry,Onshore,19,0.005
Bbcountry,Onshore,19,0.0121
Hbcountry,Onshore,19,0.0517
Hhcountry,Onshore,19,0.0822
Mvcountry,Onshore,19,0.0802
Slcountry,Onshore,19,0.071
Stcountry,Onshore,19,0.0031
Shcountry,Onshore,19,0.0603
Thcountry,Onshore,19,0.0299
Bwcountry,Onshore,19,0.027775
Bycountry,Onshore,19,0.0302142857142857
Hecountry,Onshore,19,0.0473666666666667
Nicountry,Onshore,19,0.067525
Nwcountry,Onshore,19,0.03826
Rpcountry,Onshore,19,0.068
Sncountry,Onshore,19,0.0032333333333333
Becountry,Onshore,20,0.0063
Bbcountry,Onshore,20,0.0164
Hbcountry,Onshore,20,0.0289
Hhcountry,Onshore,20,0.0855
Mvcountry,Onshore,20,0.0827
Slcountry,Onshore,20,0.0578
